Delivery,Name of sold-to party,Shipment Number,Sold-to party,Name of the ship-to party,Location of the ship-to party,Ship-to party,Material,UPC,GTIN,Description,Batch,Delivery quantity,Actual delivery qty,Net weight,Plant,Act. Gds Mvmnt Date,Deliv. date(From/to),Created on,Overall pick.status
808290529,HAVANA SEED COMPANY INC,833253887,9259952,PAUL BERGH WHS,VEBLEN,9255872,88347986,190794536974,00190794536974,C.DK.DKC42-65RIB.SCS.AF2.80M.F7.US,H26RMR3JX,40,40,"1,640.000",8H53,02/03/2023,02/03/2023,22/02/2023,C
808325406,ROELOFSEN SEED SALES INC,833287382,9201975,ROELFSEN SEED WHS,TORONTO,9253231,88347986,190794536974,00190794536974,C.DK.DKC42-65RIB.SCS.AF2.80M.F7.US,H35XAE4JX,55,55,"2,832.500",8H53,13/03/2023,10/03/2023,06/03/2023,C
808465028,ROELOFSEN SEED SALES INC,833379768,9201975,ROELFSEN SEED WHS,TORONTO,9253231,88347986,190794536974,00190794536974,C.DK.DKC42-65RIB.SCS.AF2.80M.F7.US,H53RKK4JT,60,60,"2,796.000",8H53,19/04/2023,20/04/2023,17/04/2023,C
808290529,HAVANA SEED COMPANY INC,833253887,9259952,PAUL BERGH WHS,VEBLEN,9255872,88348052,190794537032,00190794537032,C.DK.DKC42-65RIB.SCS.AR2.45USP.F7.US,H35XRV7JX,360,8,"20,340.000",8H53,02/03/2023,02/03/2023,22/02/2023,C
808325406,ROELOFSEN SEED SALES INC,833287382,9201975,ROELFSEN SEED WHS,TORONTO,9253231,88348052,190794537032,00190794537032,C.DK.DKC42-65RIB.SCS.AR2.45USP.F7.US,H13M1P3JX,45,1,"2,115.000",8H53,13/03/2023,10/03/2023,06/03/2023,C
808290529,HAVANA SEED COMPANY INC,833253887,9259952,PAUL BERGH WHS,VEBLEN,9255872,88348001,190794536998,00190794536998,C.DK.DKC42-65RIB.SCS.AR2.80M.F7.US,H35XPC4JX,40,40,"2,340.000",8H53,02/03/2023,02/03/2023,22/02/2023,C
808181469,STEVEN HOOVER,833140522,9201955,STEVEN HOOVER,BRULE,9201955,87503917,190794475150,00190794475150,C.DK.DKC43-46.S43.AR2.45USP.F7.US,H74XNM4JX,135,3,"7,681.500",8H4A,26/01/2023,27/01/2023,13/01/2023,C
808247288,BRENT A THELANDER,833210429,9200938,BRENT THELANDER WHS,GRANT,9244995,87503917,190794475150,00190794475150,C.DK.DKC43-46.S43.AR2.45USP.F7.US,H13MLA9JX,45,1,"2,317.500",8H4A,17/02/2023,17/02/2023,07/02/2023,C
808399019,BRENT A THELANDER,833332588,9200938,BRENT THELANDER WHS,GRANT,9244995,87503909,190794475143,00190794475143,C.DK.DKC43-46.S43.AR2.80M.F7.US,H28EDL9JX,14,14,714.000,8H4A,11/04/2023,12/04/2023,28/03/2023,C
808075640,ROELOFSEN SEED SALES INC,833006391,9201975,ROELFSEN SEED WHS,TORONTO,9253231,13061614,190794190251,00190794190251,C.DK.DKC43-75RIB.SCS.AF2.50USP.F7.US,H21XCA3JX,100,2,"4,900.000",8H53,02/12/2022,02/12/2022,21/11/2022,C
